,bathroomcnt,bedroomcnt,fips,garagecarcnt,yearbuilt,lotsizesquarefeet,taxvaluedollarcnt,transactiondate
0,3.5,4.0,6059.0,2.0,1998.0,4506.0,1023282.0,2017-01-01
1,1.0,2.0,6111.0,1.0,1967.0,12647.0,464000.0,2017-01-01
2,2.0,3.0,6059.0,2.0,1962.0,8432.0,564778.0,2017-01-01
3,3.0,4.0,6037.0,,1970.0,13038.0,145143.0,2017-01-01
4,3.0,4.0,6037.0,,1950.0,63000.0,773303.0,2017-01-01
5,1.0,2.0,6037.0,,1922.0,4214.0,218552.0,2017-01-01
6,3.0,4.0,6037.0,,1970.0,20028.0,220583.0,2017-01-02
7,3.0,4.0,6037.0,,1999.0,10384.0,430108.0,2017-01-02
8,2.5,3.0,6059.0,2.0,1980.0,1199.0,319668.0,2017-01-02
9,2.5,3.0,6111.0,2.0,2004.0,3445.0,198054.0,2017-01-02
10,2.0,4.0,6059.0,2.0,1981.0,5304.0,528847.0,2017-01-02
11,1.0,2.0,6037.0,,1939.0,4657.0,273745.0,2017-01-02
12,2.5,3.0,6059.0,2.0,1978.0,5600.0,597213.0,2017-01-02
13,2.5,3.0,6059.0,2.0,1998.0,2800.0,534612.0,2017-01-02
14,1.0,2.0,6037.0,,1908.0,5091.0,171838.0,2017-01-02
15,1.0,3.0,6037.0,,1944.0,5302.0,432754.0,2017-01-02
16,4.5,6.0,6059.0,3.0,1972.0,10050.0,2040000.0,2017-01-02
17,2.0,3.0,6037.0,,1972.0,5997.0,401399.0,2017-01-02
18,2.0,3.0,6037.0,,1920.0,6714.0,85035.0,2017-01-02
19,3.0,2.0,6059.0,3.0,1967.0,18200.0,954106.0,2017-01-02
20,3.0,4.0,6037.0,,1967.0,7911.0,1083000.0,2017-01-02
21,2.5,4.0,6059.0,2.0,1989.0,3600.0,703127.0,2017-01-02
22,3.0,3.0,6037.0,,1980.0,183383.0,1444248.0,2017-01-02
23,4.0,5.0,6037.0,,1967.0,20148.0,1473080.0,2017-01-02
24,2.5,4.0,6059.0,2.0,1977.0,3936.0,800017.0,2017-01-02
25,3.0,3.0,6037.0,,1952.0,8968.0,833227.0,2017-01-02
26,2.0,5.0,6037.0,,1948.0,7499.0,166428.0,2017-01-02
27,3.0,4.0,6037.0,,1941.0,16506.0,691816.0,2017-01-02
28,2.0,2.0,6037.0,,1928.0,3640.0,657099.0,2017-01-02
29,2.0,3.0,6037.0,,1901.0,7283.0,70755.0,2017-01-02
30,1.0,3.0,6037.0,,1922.0,5566.0,248916.0,2017-01-02
31,5.0,4.0,6037.0,,2006.0,67316.0,1814004.0,2017-01-02
32,3.0,4.0,6037.0,,1953.0,8703.0,309821.0,2017-01-02
33,5.0,4.0,6059.0,2.0,2007.0,7900.0,1279000.0,2017-01-02
34,2.5,3.0,6059.0,2.0,2000.0,2765.0,638000.0,2017-01-02
35,2.0,3.0,6037.0,,1958.0,10311.0,103293.0,2017-01-02
36,1.0,2.0,6037.0,,1948.0,8997.0,162320.0,2017-01-02
37,3.0,3.0,6037.0,,1991.0,9960.0,654279.0,2017-01-02
38,4.0,4.0,6059.0,2.0,1999.0,6185.0,579059.0,2017-01-02
39,2.0,2.0,6059.0,2.0,2014.0,6000.0,815542.0,2017-01-02
40,2.0,2.0,6037.0,,1962.0,5372.0,310117.0,2017-01-02
41,1.0,2.0,6037.0,,1948.0,13360.0,241624.0,2017-01-02
42,2.0,3.0,6037.0,,1984.0,12113.0,200726.0,2017-01-02
43,2.0,3.0,6059.0,2.0,1962.0,10112.0,606645.0,2017-01-02
44,2.0,4.0,6037.0,,1956.0,8427.0,97097.0,2017-01-02
45,6.5,5.0,6059.0,4.0,1992.0,30000.0,3624442.0,2017-01-02
46,1.0,2.0,6037.0,,1917.0,7150.0,40746.0,2017-01-02
47,3.0,3.0,6037.0,,1979.0,7245.0,605540.0,2017-01-02
48,1.0,2.0,6037.0,,1946.0,7055.0,164836.0,2017-01-02
49,2.0,3.0,6037.0,,1955.0,7215.0,187119.0,2017-01-02
50,1.0,2.0,6037.0,,1885.0,,232000.0,2017-01-02
51,4.0,5.0,6037.0,,1989.0,35174.0,737397.0,2017-01-02
52,5.0,5.0,6037.0,,1998.0,10010.0,852836.0,2017-01-02
53,2.0,3.0,6037.0,,1944.0,5457.0,334119.0,2017-01-02
54,4.0,4.0,6037.0,,1963.0,50708.0,1289594.0,2017-01-02
55,2.0,3.0,6059.0,2.0,1971.0,8597.0,218510.0,2017-01-02
56,2.0,3.0,6037.0,,1939.0,10520.0,963231.0,2017-01-02
57,2.5,3.0,6059.0,2.0,2006.0,3112.0,730498.0,2017-01-02
58,1.0,2.0,6037.0,,1951.0,5574.0,49034.0,2017-01-02
59,3.0,5.0,6059.0,2.0,1999.0,5610.0,473286.0,2017-01-02
60,1.0,2.0,6037.0,,1940.0,6055.0,72867.0,2017-01-02
61,1.0,2.0,6037.0,,1938.0,5025.0,214354.0,2017-01-02
62,2.0,4.0,6059.0,2.0,1961.0,7200.0,465990.0,2017-01-02
63,1.0,2.0,6037.0,,1937.0,4829.0,141693.0,2017-01-02
64,1.5,3.0,6059.0,2.0,1971.0,3549.0,265259.0,2017-01-02
65,2.0,2.0,6037.0,,1956.0,7210.0,144688.0,2017-01-02
66,2.0,3.0,6037.0,,1954.0,7501.0,199420.0,2017-01-02
67,3.0,5.0,6059.0,2.0,1966.0,7000.0,541129.0,2017-01-02
68,2.5,3.0,6059.0,2.0,1973.0,6944.0,1441252.0,2017-01-02
69,3.0,3.0,6037.0,,1939.0,6994.0,1070352.0,2017-01-03
70,2.5,3.0,6059.0,2.0,1973.0,1944.0,553311.0,2017-01-03
71,3.0,3.0,6059.0,2.0,1963.0,9040.0,633122.0,2017-01-03
72,1.0,3.0,6037.0,,1923.0,5427.0,234319.0,2017-01-03
73,1.0,3.0,6037.0,,1951.0,7499.0,37210.0,2017-01-03
74,2.0,3.0,6059.0,2.0,1963.0,8000.0,73745.0,2017-01-03
75,2.0,4.0,6059.0,2.0,1929.0,7100.0,313973.0,2017-01-03
76,3.0,3.0,6037.0,,1966.0,14356.0,700000.0,2017-01-03
77,1.0,3.0,6037.0,,1954.0,7415.0,52764.0,2017-01-03
78,2.0,3.0,6059.0,1.0,1950.0,6180.0,56059.0,2017-01-03
79,3.0,4.0,6037.0,,2006.0,,145452.0,2017-01-03
80,2.0,5.0,6037.0,,1950.0,6693.0,635000.0,2017-01-03
81,2.0,3.0,6059.0,1.0,1955.0,6324.0,288193.0,2017-01-03
82,2.0,4.0,6059.0,2.0,1972.0,7904.0,289996.0,2017-01-03
83,2.5,4.0,6059.0,2.0,1974.0,1632.0,206365.0,2017-01-03
84,1.0,2.0,6059.0,,1926.0,3000.0,13817.0,2017-01-03
85,2.0,3.0,6059.0,2.0,1955.0,7215.0,315672.0,2017-01-03
86,2.0,3.0,6037.0,,1985.0,5836.0,282233.0,2017-01-03
87,2.0,4.0,6111.0,2.0,1969.0,7300.0,420525.0,2017-01-03
88,1.0,1.0,6059.0,1.0,1922.0,1904.0,86152.0,2017-01-03
89,3.0,5.0,6037.0,,1988.0,121717.0,1294418.0,2017-01-03
90,2.0,3.0,6111.0,2.0,1957.0,11200.0,77571.0,2017-01-03
91,2.0,2.0,6037.0,,1956.0,5802.0,132508.0,2017-01-03
92,3.0,4.0,6111.0,3.0,1978.0,8644.0,387648.0,2017-01-03
93,3.0,5.0,6059.0,2.0,1965.0,9675.0,705590.0,2017-01-03
94,4.5,5.0,6059.0,2.0,1996.0,7776.0,502035.0,2017-01-03
95,3.0,4.0,6037.0,,1957.0,17166.0,1279125.0,2017-01-03
96,1.0,3.0,6037.0,,1940.0,4795.0,192008.0,2017-01-03
97,2.0,3.0,6037.0,,1956.0,7915.0,84218.0,2017-01-03
98,2.0,3.0,6037.0,,1960.0,9654.0,631600.0,2017-01-03
99,3.0,4.0,6037.0,,1971.0,4976.0,128871.0,2017-01-03
100,2.0,3.0,6111.0,2.0,1965.0,6275.0,206909.0,2017-01-03
101,3.0,4.0,6037.0,,1975.0,4920.0,521000.0,2017-01-03
102,2.0,4.0,6037.0,,1960.0,7842.0,419295.0,2017-01-03
103,3.0,3.0,6111.0,2.0,1987.0,4000.0,789179.0,2017-01-03
104,2.0,3.0,6037.0,,1947.0,6522.0,82798.0,2017-01-03
105,2.0,4.0,6037.0,,1958.0,8700.0,249614.0,2017-01-03
106,3.0,4.0,6059.0,2.0,1966.0,7248.0,333437.0,2017-01-03
107,1.0,3.0,6037.0,,1948.0,6746.0,60632.0,2017-01-03
108,6.0,3.0,6037.0,,1936.0,39352.0,2157425.0,2017-01-03
109,3.0,4.0,6111.0,2.0,1989.0,9731.0,524802.0,2017-01-03
110,2.0,3.0,6037.0,,1988.0,10136.0,404643.0,2017-01-03
111,2.0,2.0,6059.0,2.0,1985.0,15118.0,439797.0,2017-01-03
112,2.0,4.0,6037.0,,1929.0,5676.0,884199.0,2017-01-03
113,3.0,4.0,6037.0,,2004.0,5366.0,579800.0,2017-01-03
114,2.0,3.0,6037.0,,1984.0,6693.0,515000.0,2017-01-03
115,2.0,3.0,6059.0,,1971.0,2500.0,385911.0,2017-01-03
116,3.0,3.0,6059.0,2.0,1990.0,7700.0,892864.0,2017-01-03
117,1.0,3.0,6037.0,,1930.0,6724.0,78015.0,2017-01-03
118,1.0,2.0,6037.0,,1935.0,6374.0,312262.0,2017-01-03
119,2.0,4.0,6059.0,2.0,1969.0,7238.0,639607.0,2017-01-03
120,3.0,3.0,6037.0,,1966.0,15071.0,303621.0,2017-01-03
121,3.0,4.0,6059.0,2.0,1977.0,11218.0,622298.0,2017-01-03
122,2.0,3.0,6037.0,,1912.0,5199.0,516832.0,2017-01-03
123,3.0,7.0,6037.0,,1959.0,17387.0,366160.0,2017-01-03
124,0.0,0.0,6059.0,,,39184.0,830145.0,2017-01-03
125,2.0,3.0,6037.0,,1951.0,5957.0,176344.0,2017-01-03
126,4.0,5.0,6059.0,2.0,1984.0,43560.0,2249017.0,2017-01-03
127,2.5,3.0,6059.0,2.0,1995.0,6375.0,1794000.0,2017-01-03
128,3.5,3.0,6059.0,2.0,1978.0,6600.0,1185538.0,2017-01-03
129,2.0,4.0,6059.0,1.0,1934.0,2550.0,1590506.0,2017-01-03
130,2.0,2.0,6059.0,2.0,1994.0,2700.0,585000.0,2017-01-03
131,2.0,3.0,6037.0,,1969.0,10942.0,155328.0,2017-01-03
132,5.0,4.0,6037.0,,2001.0,6219.0,1038000.0,2017-01-03
133,2.5,3.0,6059.0,2.0,1981.0,1593.0,388000.0,2017-01-03
134,3.0,4.0,6059.0,2.0,1950.0,12000.0,419999.0,2017-01-03
135,1.0,3.0,6037.0,,1955.0,7427.0,61999.0,2017-01-03
136,2.0,3.0,6059.0,2.0,1969.0,5000.0,169687.0,2017-01-03
137,3.0,4.0,6037.0,,1947.0,5742.0,77610.0,2017-01-03
138,5.5,6.0,6059.0,2.0,2008.0,8504.0,524638.0,2017-01-03
139,2.5,4.0,6059.0,2.0,1978.0,4410.0,398434.0,2017-01-03
140,4.0,5.0,6059.0,2.0,1996.0,6600.0,766451.0,2017-01-03
141,3.5,3.0,6059.0,2.0,2007.0,5012.0,947513.0,2017-01-03
142,1.5,3.0,6059.0,1.0,1954.0,7035.0,423359.0,2017-01-03
143,1.5,3.0,6059.0,2.0,1973.0,1830.0,200356.0,2017-01-03
144,4.0,6.0,6059.0,2.0,1999.0,7448.0,799634.0,2017-01-03
145,1.0,3.0,6037.0,,1949.0,5570.0,61124.0,2017-01-03
146,2.0,3.0,6059.0,2.0,1958.0,7128.0,116226.0,2017-01-03
147,2.0,3.0,6059.0,2.0,1959.0,7636.0,239875.0,2017-01-03
148,1.0,2.0,6111.0,1.0,1927.0,5070.0,279193.0,2017-01-03
149,2.0,3.0,6037.0,,1920.0,5400.0,342300.0,2017-01-03
150,2.5,3.0,6059.0,2.0,1978.0,2125.0,632193.0,2017-01-03
151,4.0,3.0,6037.0,,1931.0,8083.0,757578.0,2017-01-03
152,2.0,3.0,6037.0,,1938.0,6571.0,808662.0,2017-01-03
153,3.0,4.0,6037.0,,1987.0,7312.0,137933.0,2017-01-03
154,2.5,3.0,6059.0,2.0,1998.0,2250.0,438991.0,2017-01-03
155,4.5,5.0,6059.0,2.0,1995.0,8625.0,891736.0,2017-01-03
156,2.0,3.0,6037.0,,1965.0,9961.0,72166.0,2017-01-03
157,1.0,3.0,6037.0,,1946.0,39946.0,96224.0,2017-01-03
158,1.0,3.0,6037.0,,1947.0,5350.0,234051.0,2017-01-03
159,3.0,4.0,6037.0,,1998.0,8934.0,231896.0,2017-01-03
